frame,pts_seconds,gray_mean,mean_absolute_difference
510,20.400,87.7516,3.7875
511,20.440,87.2214,4.5213
512,20.480,87.2670,3.9563
513,20.520,88.0349,4.4127
514,20.560,88.9962,3.7131
515,20.600,88.6660,3.2033
516,20.640,87.9321,3.7035
517,20.680,88.0372,3.5861
518,20.720,87.7673,3.9392
519,20.760,87.8933,4.1935
520,20.800,87.3331,4.7254
521,20.840,86.5617,5.1774
522,20.880,86.8528,4.4752
523,20.920,87.7242,4.9308
524,20.960,88.4478,4.5960
525,21.000,88.6357,4.5944
526,21.040,88.6265,4.6860
527,21.080,90.2358,4.9476
528,21.120,88.9176,5.3648
529,21.160,89.1878,4.3760
530,21.200,89.9170,4.6641
531,21.240,91.6431,5.2496
532,21.280,91.3543,4.9901
533,21.320,91.2465,4.8288
534,21.360,91.4285,4.8931
535,21.400,91.6859,4.6144
536,21.440,90.7259,4.7461
537,21.480,91.4222,4.7624
538,21.520,59.2780,42.6492
539,21.560,61.6897,10.9060
540,21.600,62.5723,10.5503
541,21.640,61.5582,10.1217
542,21.680,59.9493,6.3412
543,21.720,59.3874,9.9047
544,21.760,57.6822,10.8494
545,21.800,56.8223,8.2178
546,21.840,56.6081,9.3618
547,21.880,56.5885,7.3349
548,21.920,56.7507,7.9896
549,21.960,56.5297,7.1618
550,22.000,56.3649,5.4102
551,22.040,56.5624,5.2831
552,22.080,57.1449,6.6172
553,22.120,57.3801,5.7294
554,22.160,58.2507,4.3603
555,22.200,59.4806,6.4928
556,22.240,60.4311,5.0267
557,22.280,61.0947,5.3944
558,22.320,61.2928,5.1042
559,22.360,61.7237,4.0255
560,22.400,61.8948,7.4815
561,22.440,61.5668,6.9262
562,22.480,61.5629,5.7874
563,22.520,61.6585,5.3144
564,22.560,61.2617,7.2056
565,22.600,60.5450,6.5015
566,22.640,60.2221,4.5815
567,22.680,59.9956,4.1235
568,22.720,60.2347,3.2677
569,22.760,60.3775,2.5543
570,22.800,60.5040,3.7197
